user_id,month,income_eur,rent_eur,food_eur,transport_eur,utilities_eur,debt_eur,discretionary_eur,total_expenses_eur,savings_eur,cumulative_savings_eur
1,1,3408.25,1348.67,411.66,249.15,199.53,333.36,333.93,2876.3,531.95,531.95
1,2,3238.04,1130.08,390.7,201.3,121.81,337.71,545.05,2726.64,511.4,1043.35
1,3,3567.92,1217.65,449.58,245.48,226.66,270.47,334.45,2744.29,823.62,1866.97
1,4,3789.68,1211.12,448.89,319.55,210.97,273.4,449.59,2913.52,876.16,2743.13
1,5,3360.69,1050.34,399.44,276.53,177.09,413.63,553.76,2870.8,489.9,3233.03
1,6,3226.46,1191.87,371.23,163.67,191.68,366.65,361.19,2646.28,580.17,3813.2
1,7,3628.61,1424.87,401.28,232.5,137.31,306.57,225.54,2728.07,900.55,4713.74
1,8,3295.4,1038,309.56,220.04,224.27,342.59,504.38,2638.84,656.56,5370.3
1,9,3722.41,1379.08,492.96,354.29,148.03,411.98,284.2,3070.55,651.87,6022.17
1,10,3463.78,1265.11,350.58,224.66,234.04,455.01,529.08,3058.48,405.3,6427.47
1,11,3639.9,1334.7,347.27,307.1,172.71,404.65,450.59,3017.02,622.87,7050.35
1,12,3680.74,1473.57,487.99,255.98,263.95,288.91,255.92,3026.33,654.42,7704.76
2,1,2277.97,684.69,287.48,200.67,108.38,152.63,120.12,1553.97,724.01,724.01
2,2,2323.78,927.57,215.49,154.18,128.96,212.41,92.61,1731.23,592.55,1316.56
2,3,2479,885.48,286.09,248.73,113.52,287.76,1.7,1823.27,655.73,1972.29
2,4,2308.87,856.72,266.29,197.63,126.8,121.92,154.66,1724.02,584.85,2557.13
2,5,2476.61,902.09,241.75,109.62,153.24,123.47,203.62,1733.79,742.81,3299.95
2,6,2453.29,840.47,238.55,147.2,130.01,213.7,58.33,1628.26,825.04,4124.99
2,7,2514.11,817.12,332.49,160.49,118.68,278.27,73.21,1780.27,733.84,4858.82
2,8,2300.26,870.19,264.04,159.35,130.16,224.29,39.93,1687.96,612.3,5471.12
2,9,2201.79,668.63,281.19,184.23,89.03,191.97,82.85,1497.91,703.87,6174.99
2,10,2395.33,924.14,338.57,181.08,134.28,195.03,80.5,1853.6,541.72,6716.72
2,11,2131.89,767.71,262.25,135.4,83.55,160.13,64.09,1473.14,658.76,7375.48
2,12,2582.24,752.42,266.14,281.12,122.37,228.22,93.3,1743.57,838.67,8214.14
3,1,3865.14,1504.18,559.16,366.66,230.6,395.39,5.57,3061.56,803.59,803.59
3,2,4123.48,1385.77,593.46,387.35,172.24,393.53,273.08,3205.43,918.04,1721.63
3,3,2727.31,964.08,243.25,234.48,159.66,284.94,308.89,2195.32,531.99,2253.62
3,4,2613.38,879.86,271.53,240.53,160.28,120.52,252.29,1925.01,688.37,2941.99
3,5,2155.04,785.01,228.12,179.81,83.97,187.37,148.5,1612.78,542.26,3484.25
3,6,2718.52,915.58,313.35,186.56,122.81,308.84,233.36,2080.5,638.01,4122.26
3,7,2626.41,1019.97,347.73,271.97,140.88,290.03,96.4,2166.98,459.43,4581.7
